person_id,key,first_seen_t_sync,last_seen_t_sync,first_camera,last_camera,cameras,tracks_count,frames_count
1,global::1,6.100,1274.550,CAMERA_HALL_PORTE_DROITE,CAMERA_HALL_PORTE_GAUCHE,CAMERA_DEBUT_COULOIR_DROIT|CAMERA_DEVANTURE_PORTE_ENTREE|CAMERA_ESCALIER_DEBUT_COULOIR_GAUCHE|CAMERA_HALL_PORTE_DROITE|CAMERA_HALL_PORTE_ENTREE|CAMERA_HALL_PORTE_GAUCHE,270,125900
2,global::2,6.100,1185.571,CAMERA_HALL_PORTE_DROITE,CAMERA_HALL_PORTE_ENTREE,CAMERA_DEBUT_COULOIR_DROIT|CAMERA_DEVANTURE_PORTE_ENTREE|CAMERA_ESCALIER_DEBUT_COULOIR_GAUCHE|CAMERA_HALL_PORTE_DROITE|CAMERA_HALL_PORTE_ENTREE,52,7677
3,global::3,134.360,1037.030,CAMERA_HALL_PORTE_DROITE,CAMERA_HALL_PORTE_GAUCHE,CAMERA_HALL_PORTE_DROITE|CAMERA_HALL_PORTE_ENTREE|CAMERA_HALL_PORTE_GAUCHE,8,754
4,global::4,200.441,203.109,CAMERA_HALL_PORTE_DROITE,CAMERA_HALL_PORTE_DROITE,CAMERA_HALL_PORTE_DROITE,1,81
5,global::5,396.485,455.336,CAMERA_FIN_COULOIR_GAUCHE_REZ_PARTIE_2,CAMERA_FIN_COULOIR_GAUCHE_REZ_PARTIE_1,CAMERA_FIN_COULOIR_GAUCHE_REZ_PARTIE_1|CAMERA_FIN_COULOIR_GAUCHE_REZ_PARTIE_2,2,153
6,global::6,415.563,418.665,CAMERA_HALL_PORTE_DROITE,CAMERA_HALL_PORTE_DROITE,CAMERA_HALL_PORTE_DROITE,1,94
7,global::7,421.903,1447.746,CAMERA_FIN_COULOIR_GAUCHE_REZ_PARTIE_2,CAMERA_FIN_COULOIR_DROIT,CAMERA_DEBUT_COULOIR_DROIT|CAMERA_ESCALIER_DEBUT_COULOIR_GAUCHE|CAMERA_FIN_COULOIR_DROIT|CAMERA_FIN_COULOIR_GAUCHE_ETAGE1|CAMERA_FIN_COULOIR_GAUCHE_REZ_PARTIE_1|CAMERA_FIN_COULOIR_GAUCHE_REZ_PARTIE_2|CAMERA_HALL_PORTE_ENTREE,129,39358
8,global::8,451.100,454.503,CAMERA_FIN_COULOIR_GAUCHE_REZ_PARTIE_1,CAMERA_FIN_COULOIR_GAUCHE_REZ_PARTIE_1,CAMERA_FIN_COULOIR_GAUCHE_REZ_PARTIE_1,1,103
9,global::9,543.291,545.859,CAMERA_FIN_COULOIR_GAUCHE_REZ_PARTIE_2,CAMERA_FIN_COULOIR_GAUCHE_REZ_PARTIE_2,CAMERA_FIN_COULOIR_GAUCHE_REZ_PARTIE_2,1,74
10,global::10,648.140,1322.891,CAMERA_HALL_PORTE_GAUCHE,CAMERA_ESCALIER_DEBUT_COULOIR_GAUCHE,CAMERA_DEBUT_COULOIR_DROIT|CAMERA_ESCALIER_DEBUT_COULOIR_GAUCHE|CAMERA_HALL_PORTE_ENTREE|CAMERA_HALL_PORTE_GAUCHE,6,514
11,global::11,660.692,663.252,CAMERA_DEVANTURE_PORTE_ENTREE,CAMERA_DEVANTURE_PORTE_ENTREE,CAMERA_DEVANTURE_PORTE_ENTREE,2,134
12,global::12,660.726,1409.146,CAMERA_DEVANTURE_PORTE_ENTREE,CAMERA_DEVANTURE_SOUS_ARBRE,CAMERA_DEBUT_COULOIR_DROIT|CAMERA_DEVANTURE_PORTE_ENTREE|CAMERA_DEVANTURE_SOUS_ARBRE|CAMERA_HALL_PORTE_ENTREE,132,51578
13,global::13,678.560,1211.406,CAMERA_HALL_PORTE_ENTREE,CAMERA_DEBUT_COULOIR_DROIT,CAMERA_DEBUT_COULOIR_DROIT|CAMERA_ESCALIER_DEBUT_COULOIR_GAUCHE|CAMERA_HALL_PORTE_ENTREE,10,654
14,global::14,680.109,1455.490,CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,CAMERA_ESCALIER_DEBUT_COULOIR_GAUCHE,CAMERA_ESCALIER_DEBUT_COULOIR_GAUCHE|CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,25,4624
15,global::15,680.109,1295.583,CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,CAMERA_ESCALIER_DEBUT_COULOIR_GAUCHE,CAMERA_DEBUT_COULOIR_DROIT|CAMERA_ESCALIER_DEBUT_COULOIR_GAUCHE|CAMERA_FIN_COULOIR_GAUCHE_ETAGE1|CAMERA_HALL_PORTE_ENTREE|CAMERA_HALL_PORTE_GAUCHE,58,19354
16,global::16,681.556,1314.702,CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,CAMERA_ESCALIER_DEBUT_COULOIR_GAUCHE,CAMERA_ESCALIER_DEBUT_COULOIR_GAUCHE|CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,2,138
17,global::17,686.694,1165.424,CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,CAMERA_ESCALIER_DEBUT_COULOIR_GAUCHE,CAMERA_ESCALIER_DEBUT_COULOIR_GAUCHE|CAMERA_FIN_COULOIR_GAUCHE_ETAGE1,6,1113
18,global::18,687.397,1465.899,CAMERA_DEVANTURE_PORTE_ENTREE,CAMERA_DEVANTURE_SOUS_ARBRE,CAMERA_DEVANTURE_PORTE_ENTREE|CAMERA_DEVANTURE_SOUS_ARBRE,90,31859
19,global::19,693.105,1449.670,CAMERA_DEVANTURE_PORTE_ENTREE,CAMERA_FIN_COULOIR_DROIT,CAMERA_DEBUT_COULOIR_DROIT|CAMERA_DEVANTURE_PORTE_ENTREE|CAMERA_FIN_COULOIR_DROIT|CAMERA_HALL_PORTE_ENTREE,204,85739
20,global::20,716.941,1167.798,CAMERA_HALL_PORTE_GAUCHE,CAMERA_HALL_PORTE_GAUCHE,CAMERA_HALL_PORTE_GAUCHE,3,197
21,global::21,732.536,734.865,CAMERA_FIN_COULOIR_DROIT,CAMERA_FIN_COULOIR_DROIT,CAMERA_FIN_COULOIR_DROIT,1,70
22,global::22,734.062,1286.192,CAMERA_DEVANTURE_PORTE_ENTREE,CAMERA_DEVANTURE_PORTE_ENTREE,CAMERA_DEVANTURE_PORTE_ENTREE,12,1004
23,global::23,738.848,741.177,CAMERA_FIN_COULOIR_DROIT,CAMERA_FIN_COULOIR_DROIT,CAMERA_FIN_COULOIR_DROIT,1,70
24,global::24,745.815,1035.422,CAMERA_HALL_PORTE_GAUCHE,CAMERA_HALL_PORTE_GAUCHE,CAMERA_HALL_PORTE_GAUCHE,3,194
25,global::25,747.827,1325.814,CAMERA_FIN_COULOIR_DROIT,CAMERA_DEBUT_COULOIR_DROIT,CAMERA_DEBUT_COULOIR_DROIT|CAMERA_FIN_COULOIR_DROIT|CAMERA_HALL_PORTE_ENTREE,7,611
26,global::26,748.427,1455.596,CAMERA_HALL_PORTE_GAUCHE,CAMERA_DEVANTURE_SOUS_ARBRE,CAMERA_DEVANTURE_PORTE_ENTREE|CAMERA_DEVANTURE_SOUS_ARBRE|CAMERA_ESCALIER_DEBUT_COULOIR_GAUCHE|CAMERA_HALL_PORTE_ENTREE|CAMERA_HALL_PORTE_GAUCHE,102,56735
27,global::27,824.660,1379.377,CAMERA_DEVANTURE_PORTE_ENTREE,CAMERA_DEVANTURE_SOUS_ARBRE,CAMERA_DEVANTURE_PORTE_ENTREE|CAMERA_DEVANTURE_SOUS_ARBRE,2,175
28,global::28,863.688,866.133,CAMERA_HALL_PORTE_GAUCHE,CAMERA_HALL_PORTE_GAUCHE,CAMERA_HALL_PORTE_GAUCHE,1,74
29,global::29,872.190,874.266,CAMERA_DEVANTURE_PORTE_ENTREE,CAMERA_DEVANTURE_PORTE_ENTREE,CAMERA_DEVANTURE_PORTE_ENTREE,1,61
